"Name","Full name","Description","Location","Coordinates","URL","Version","DNSSEC validation","No logs","Namecoin","Resolver address","Provider name","Provider public key","Provider public key TXT record"
"soltysiak","","Public DNSCrypt server in Poland","Poland","+52.2394, +21.0362","","1","yes","yes","no","178.216.201.222:2053","2.dnscrypt-cert.soltysiak.com","25C4:E188:2915:4697:8F9C:2BBD:B6A7:AFA4:01ED:A051:0508:5D53:03E7:1928:C066:8F21",""
"meganerd","","Public DNSCrypt server by MegaNerd.nl - https://meganerd.nl/encrypted-dns-server Hosted in Amsterdam, The Netherlands. Non-logging, non-filtering, supports DNSSEC.","Netherlands","+52.3902, +4.6568","","1","yes","yes","no","209.250.241.25:443","2.dnscrypt-cert.meganerd","FCAA:DC70:4E5E:E360:BBA1:4EE2:953B:D528:BA09:357A:90F0:FCE4:D03A:0138:6BFF:AB62",""
"skyfighter-dns","","Uncensored, DNSSEC, no logging DNSCrypt server in Netherlands by Scaleway.com Maintained by tuttimann","Netherlands","+52.3615, +4.6419","","1","yes","yes","no","51.15.62.65:443","2.dnscrypt-cert.skyfighter-dns.com","D16B:DCB4:0A4E:7FAA:BAE2:D49C:D7A5:394E:7F3E:EFB0:EA6A:3AF8:1EA5:8EA7:2F98:979B",""
"scaleway-ams","","DNSSEC/Non-logged/Uncensored in Amsterdam - DEV1-S instance donated by Scaleway.com Maintained by Frank Denis - https://fr.dnscrypt.info","Netherlands","+52.3824, +4.8995","","1","yes","yes","no","51.15.122.250:443","2.dnscrypt-cert.scaleway-ams","E90D:D97D:AA5C:6C78:221C:A2C5:ED01:6896:2D13:CB55:6CCF:7457:B354:546F:152B:C190",""
"ams-dnscrypt-nl","","Resolver in Amsterdam. DNSCrypt protocol. Non-logging, non-filtering, DNSSEC. Forward DNS to anoymized DNS servers.","Netherlands","+52.3824, +4.8995","","1","yes","yes","no","51.15.124.208:443","2.dnscrypt-cert.ams-dnscrypt-nl","BC13:88F5:763E:3DEC:75F1:C90F:C915:BFB6:8AEA:DFEB:1C45:F698:5180:639C:60E7:F162",""
"opennic-R4SAS","","DNSSEC - OpenNIC - Non-logging - Uncensored - hosted on ovh.com Location: Gravelines, France. Maintained by R4SAS.","France","+50.6974, +3.1780","","1","yes","yes","no","151.80.222.79:443","","322E:646E:7363:7279:7074:2D63:6572:742E:6F70:656E:6E69:632E:6932:7064:2E78:797A",""
"dnscrypt.eu-nl","","Free, non-logged, uncensored. Hosted by RamNode.","Netherlands","+52.3824, +4.8995","","1","yes","yes","no","176.56.237.171:443","2.dnscrypt-cert.resolver1.dnscrypt.eu","67C0:0F2C:21C5:5481:45DD:7CB4:6A27:1AF2:EB96:9931:40A3:09B6:2B8D:1653:1185:9C66",""
"v.dnscrypt.uk-ipv4","","DNSCrypt v2, no logs, uncensored, DNSSEC. Hosted in London UK on Vultr https://www.dnscrypt.uk","United Kingdom","+51.5164, -0.0930","","1","yes","yes","no","104.238.186.192:443","2.dnscrypt-cert.v.dnscrypt.uk","ED49:3D8C:EAD7:9066:4F06:3C47:B795:9A23:692D:7C90:363C:9E43:CCB5:917B:E5B4:1EE5",""
"ibksturm","","dnscrypt-server (nginx - encrypted-dns - unbound backend), DNSSEC / Non-Logged / Uncensored, OpenNIC and Root DNS-Zone Copy Hosted in Switzerland by ibksturm, aka Andreas Ziegler","Switzerland","+47.4515, +8.5849","","1","yes","yes","no","83.77.85.7:8443","2.dnscrypt-cert.ibksturm","C1CF:5750:00B0:5BC2:6C62:1F5E:CF9A:A256:0ACE:BF00:7EBE:CB3A:7FF4:B20D:E0B4:39EE",""
"dnscrypt.uk-ipv4","","DNSCrypt v2, no logs, uncensored, DNSSEC. Hosted in London UK on Digital Ocean https://www.dnscrypt.uk","United Kingdom","+51.5353, -0.6658","","1","yes","yes","no","139.59.200.116:443","2.dnscrypt-cert.dnscrypt.uk","7190:AC09:9B18:4300:CBE3:F9A1:764D:C14E:2B5E:9C48:8E44:A4CC:4124:6DD9:7B49:51BC",""
